475441	275	1	0	1	1	1	111
847119	275	1	0	1	1	1	111
211881	276	1	0	1	1	1	111
916721	278	1	0	1	1	1	111
651466	278	1	0	1	1	1	111
324645	278	1	0	1	1	1	111
1008506	278	1	0	1	1	1	111
402172	279	1	0	1	1	1	111
756940	279	1	0	1	1	1	111
457335	279	1	0	1	1	1	111
478277	279	1	0	1	1	1	111
959957	279	1	0	1	1	1	111
782537	279	1	0	1	1	1	111
847826	277	1	0	1	1	1	111
190670	278	1	0	1	1	1	111
237946	279	1	0	1	1	1	111
869319	279	1	0	1	1	1	111
765319	280	1	0	1	1	1	111
275712	281	1	0	1	1	1	111
939081	282	1	0	1	1	1	111
454916	282	1	0	1	1	1	111
686607	282	1	0	1	1	1	111
432953	285	1	0	1	1	1	111
564649	285	1	0	1	1	1	111
755047	286	1	0	1	1	1	111
458649	286	1	0	1	1	1	111
214315	286	1	0	1	1	1	111
1008306	286	1	0	1	1	1	111
882787	287	1	0	1	1	1	111
854237	287	1	0	1	1	1	111
167518	287	1	0	1	1	1	111
819089	288	1	0	1	1	1	111
471549	288	1	0	1	1	1	111
577611	288	1	0	1	1	1	111
749583	288	1	0	1	1	1	111
728658	288	1	0	1	1	1	111
370386	288	1	0	1	1	1	111
304718	288	1	0	1	1	1	111
1001840	289	1	0	1	1	1	111
260394	289	1	0	1	1	1	111
294887	289	1	0	1	1	1	111
277744	289	1	0	1	1	1	111
534669	289	1	0	1	1	1	111
875051	289	1	0	1	1	1	111
913641	290	1	0	1	1	1	111
808246	290	1	0	1	1	1	111
567396	290	1	0	1	1	1	111
615406	290	1	0	1	1	1	111
682683	290	1	0	1	1	1	111
385170	290	1	0	1	1	1	111
356482	290	1	0	1	1	1	111
318319	290	1	0	1	1	1	111
255630	290	1	0	1	1	1	111
515262	290	1	0	1	1	1	111
711163	291	1	0	1	1	1	111
679723	294	1	0	1	1	1	111
184355	294	1	0	1	1	1	111
403217	294	1	0	1	1	1	111
308992	294	1	0	1	1	1	111
690275	299	1	0	1	1	1	111
890211	301	1	0	1	1	1	111
567854	302	1	0	1	1	1	111
700666	303	1	0	1	1	1	111
568652	305	1	0	1	1	1	111
544935	305	1	0	1	1	1	111
541355	305	1	0	1	1	1	111
529033	305	1	0	1	1	1	111
504776	305	1	0	1	1	1	111
514997	305	1	0	1	1	1	111
521682	305	1	0	1	1	1	111
453386	305	1	0	1	1	1	111
462970	305	1	0	1	1	1	111
